latitude,longitude,Actual_Fire,Predicted_Fire,Fire_Probability,Risk_Level
19.48735517,83.01571305,0,1,0.6109506056703897,MODERATE
19.28819833,83.21612288,1,1,0.7060458948528877,HIGH
21.46481487,86.56216989,0,1,0.5217186260528794,MODERATE
22.02707184,84.10303362,1,0,0.4053838951941082,MODERATE
20.3966283,84.8140462,0,0,0.25253082339480076,LOW
18.96381657,82.23714062,1,0,0.41819643634473425,MODERATE
21.94972428,85.16690825,0,1,0.9588995762749886,HIGH
20.66153903,84.68046937,0,1,0.7453779877992017,HIGH
21.57782187,85.32258438,1,0,0.4935177462313739,MODERATE
22.05788423,85.10977379,0,1,0.7777000000311545,HIGH
19.80374176,84.71478216,0,0,0.26039759175380084,LOW
20.58841869,84.85115038,0,1,0.7174479708073307,HIGH
20.40812832,84.92930059,0,1,0.7845319838512768,HIGH
19.59613939,84.25897731,1,1,0.7783030865392957,HIGH
21.8730099,84.76697593,1,1,0.5779003309106692,MODERATE
21.86744048,84.61776549,0,0,0.23592113151174607,LOW
21.36528328,84.40854893,0,1,0.5507746685118744,MODERATE
20.17079267,84.56476462,0,1,0.6851715672680844,HIGH
20.25954661,83.60590182,0,1,0.8125285699663976,HIGH
18.78971989,83.34395639,1,1,0.5418309609740448,MODERATE
20.74616385,82.87314667,0,0,0.14235345393001822,LOW
20.92717214,85.67427368,0,0,0.3004278192386025,MODERATE
20.71292571,82.80433828,0,0,0.47718927445643744,MODERATE
19.17860255,82.83532903,1,1,0.536288736214148,MODERATE
19.29906516,83.91043167,0,0,0.08621633147686208,LOW
19.81999964,83.65692732,1,1,0.9584799859192386,HIGH
18.99058455,83.18603287,1,1,0.9602653898634195,HIGH
18.05409307,82.26660636,1,0,0.4320971184755805,MODERATE
19.68578962,83.1143439,1,1,0.7616176244862833,HIGH
21.79782054,84.62378528,1,0,0.3544304986190795,MODERATE
19.96813098,86.30875471,0,0,0.06231400981235051,LOW
20.27445785,83.4002793,0,0,0.4008507800250055,MODERATE
19.89590692,83.49370638,1,0,0.4218735039133741,MODERATE
20.82755136,85.32339148,0,0,0.0,
21.45079992,86.37675601,0,0,0.07172427748906768,LOW
19.78936562,83.21396914,1,1,0.9054964712590852,HIGH
21.96930865,86.8555609,0,0,0.44785725572343893,MODERATE
20.0772764,86.00287822,0,0,0.044928562664291447,LOW
18.10879732,82.12053959,1,1,0.7680914526115757,HIGH
21.95951646,84.35599843,0,0,0.47411024706520943,MODERATE
20.45241165,84.8383929,1,1,0.6151577997364817,MODERATE
20.60108254,84.82446712,0,0,0.1922769703650659,LOW
18.15506049,81.974834,0,1,0.6330522009086645,MODERATE
20.54188351,83.99514567,0,0,0.49328109598398695,MODERATE
