latitude,longitude,label,temp_c,rh,wind_ms,rain_mm,NDVI,Elevation,Slope,Month,DayOfYear
19.91274895,83.91705344,1,29.326,64.967,2.374,0.052,0.805,853,17.049,5,146
19.90709035,83.91755732,1,29.326,64.967,2.374,0.052,0.787,776,12.911,5,146
19.89302188,83.88960321,1,29.356,66.187,2.364,0.037,0.833,766,12.859,5,147
18.92451851,83.32993252,1,27.91,35.633,0.614,0,0.471,584,11.58,3,64
18.86510991,83.21766573,1,26.768,38.884,0.657,0.008,0.496,534,32.759,3,70
18.86475764,83.21375064,1,26.768,38.884,0.657,0.008,0.398,400,23.325,3,70
19.2362721,83.24516947,1,26.255,44.48,1.106,0.01,0.464,526,12.804,3,80
19.19465085,84.03446157,1,28.223,50.397,0.71,0.002,0.422,480,15.931,3,86
18.35449825,82.21833214,1,28.387,42.817,0.59,0.002,0.516,742,28.017,3,86
19.37095033,82.98480256,1,25.068,50.195,1.212,4.639,0.596,862,11.397,4,91
20.24740894,83.72203019,1,26.583,53.128,1.002,2.507,0.423,739,27.526,4,91
20.2187503,83.72168684,1,26.583,53.128,1.002,2.507,0.496,629,7.416,4,91
20.2483186,83.72029114,1,27.033,56.69,1.349,2.264,0.488,689,11.348,4,97
19.89794919,83.4849933,1,29.976,48.149,1.078,0.327,0.532,605,28.631,4,107
19.40286858,84.13385939,1,27.587,64.233,1.559,0.749,0.537,815,10.843,4,108
19.78940129,83.21396468,1,32.067,35.949,0.77,0.018,0.42,404,15.415,4,113
19.92569818,83.6812963,1,29.65,37.369,0.835,0.002,0.563,814,30.024,4,115
19.84765945,83.65229877,1,30.06,39.572,0.77,0.002,0.394,862,19.743,4,115
19.8514809,83.58180038,1,29.921,52.23,1.47,0.737,0.538,600,11.808,5,128
19.92110084,83.5348951,1,28.25,57.269,2.071,0.001,0.587,765,28.691,5,129
19.77259048,83.98065805,1,27.671,69.666,2.02,0.053,0.571,733,11.698,5,135
18.97508918,84.33130838,1,27.633,75.271,1.887,0.028,0.64,1094,9.638,5,140
19.28340926,83.16709953,1,25.351,41.92,1.396,0,0.457,964,34.828,3,67
18.96536834,83.22663298,1,25.057,48.214,1.219,0,0.575,649,13.179,3,67
19.60180245,83.38784732,1,26.579,40.149,1.404,0,0.492,903,53.779,3,67
19.56958099,83.370002,1,26.922,40.626,1.215,0,0.449,610,11.326,3,68
18.86205097,83.05007042,1,23.469,52.168,0.84,0.004,0.535,956,17.844,3,73
19.22169976,84.33904046,1,26.479,45.844,0.665,0.094,0.441,690,19.614,3,79
19.26442687,83.9970185,1,28.72,42.313,0.058,0.018,0.468,640,24.808,3,83
19.28855952,84.19216214,1,27.425,46.346,0.018,1.248,0.564,809,20.055,3,83
19.64393204,83.99717011,1,28.722,38.778,0.214,0.001,0.456,779,16.173,3,84
19.607412,83.91393207,1,29.265,37.224,0.196,0.001,0.43,388,8.25,3,84
19.8602029,83.6673527,1,30.162,27.438,1.375,0.001,0.385,815,15.299,3,89
19.56443073,84.33174983,1,27.553,60.073,0.508,1.533,0.46,612,19.498,4,94
19.11153767,82.79731965,1,27.138,51.927,1.051,0.126,0.506,681,10.328,4,109
19.59040053,83.0591982,1,28.353,44.685,1.317,0.037,0.446,848,19.054,4,110
19.03652221,84.350866,1,26.999,61.744,1.016,0,0.644,932,14.406,4,115
19.80066052,83.27610671,1,30.463,41.183,1.086,0.011,0.639,741,8.343,4,116
19.92439166,83.61788789,1,29.29,41.588,0.282,0.007,0.597,732,7.443,4,117
21.39960052,85.51841918,1,30.434,50.668,1.468,0.009,0.525,705,7.465,4,118
17.87888161,81.94286225,1,26.738,66.613,0.897,1.492,0.748,667,31.55,4,119
19.14683145,82.79797514,1,25.559,71.206,1.303,7.412,0.668,680,9.246,5,126
18.04015838,82.20783987,1,27.251,56.135,0.37,0.161,0.483,634,11.601,3,81
19.33659742,84.08657062,1,26.871,60.007,1.671,0.123,0.511,909,15.928,3,84
19.90816053,83.89759838,1,29.037,30.993,1.242,0,0.443,739,16.431,4,95
20.30972934,83.92411665,1,30.174,25.159,0.813,0,0.528,728,18.527,4,95
19.81056865,83.97960571,1,27.122,30.286,1.393,0,0.567,1121,12.406,4,95
19.6270588,83.42970936,1,29.022,31.035,0.607,0,0.433,626,25.633,4,96
19.51234843,82.89481344,1,29.171,29.569,0.463,0,0.382,567,25.795,4,96
19.81987925,83.69903015,1,27.474,39.37,0.886,0.003,0.385,445,15.956,3,67
17.87006151,81.9084692,1,28.412,50.274,0.888,0.015,0.519,989,6.696,4,98
17.87708905,81.91036878,1,28.412,50.274,0.888,0.015,0.451,936,31.935,4,98
17.87053863,81.9078806,1,28.412,50.274,0.888,0.015,0.435,969,18.866,4,98
19.95296112,83.54759016,1,30.655,33.183,0.508,0.012,0.593,725,35.416,4,98
19.41188934,83.19994972,1,29.537,38.568,0.812,0.012,0.422,521,8.513,4,98
19.55919128,83.38350862,1,26.777,23.544,0.782,0.012,0.387,752,14.845,3,69
19.34289813,83.2649545,1,29.146,38.02,0.317,0.002,0.439,562,13.648,4,102
19.66558989,84.19879282,1,27.168,36.234,0.341,0.003,0.421,615,17.973,3,77
19.18304827,84.02346097,1,29.418,38.266,0.391,0.012,0.41,707,21.776,3,79
19.18703025,82.85148435,1,26.589,28.139,0.877,0.012,0.397,947,10.379,3,79
19.85819185,83.62798329,1,28.462,34.176,0.366,0.012,0.491,819,10.864,3,81
19.80025029,83.82259184,1,29.327,34.204,0.462,0.012,0.429,663,25.999,3,81
19.71331119,83.25773075,1,29.132,32.051,0.421,0.012,0.388,724,15.609,3,81
19.69288851,83.06217242,1,29.544,29.071,0.421,0.012,0.395,576,16,3,81
19.93400102,83.5211031,1,28.964,34.511,0.408,0.012,0.43,484,21.011,3,81
18.96931018,83.14372046,1,27.209,42.364,0.702,0.012,0.503,857,7.931,3,81
